WKT;full_id;osm_id;osm_type;access;bicycle_parking;description;trailer;operator;opening_hours;maxheight;location;supervised;park_ride;covered;wheelchair;addr:street;addr:postcode;addr:housenumber;addr:city;start_date;source:date;ref:bag;old_name;layer;website;surface;note:access;capacity;sport;lit;note:fee;fee:conditional;loc_name;leisure;type;parking;name;fee;amenity
"MULTIPOLYGON Z (((84058.7505221093 448116.545653411 0,84059.5675832605 448114.6201389 0,84058.1297116155 448113.928454113 0,84071.5846574349 448085.351383218 0,84108.0015235464 448110.593028648 0,84094.5070938261 448133.506787297 0,84092.1493126274 448137.646278426 0,84058.7505221093 448116.545653411 0)))";w633903607;"633903607";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;playground;;;;;
"MULTIPOLYGON Z (((83670.1330738628 448043.064626937 0,83668.6729803811 448045.144062129 0,83666.1286183526 448048.218211144 0,83675.2647582389 448055.275720713 0,83679.970365399 448049.221932025 0,83675.6798899206 448045.900617852 0,83678.1810046497 448042.682437967 0,83657.4928384353 448026.710356757 0,83654.297446127 448030.828664028 0,83670.1330738628 448043.064626937 0)))";w678748343;"678748343";way;yes;;;;;;;;;;;;;;;;;;;;;;paved;;"13";;;Parkeergebied C;yes @ (Mo-Sa 12:00-24:00);;;;surface;;no;parking
"MULTIPOLYGON Z (((84628.9486625935 446998.768778453 0,84637.7350393379 447000.959265391 0,84648.5566247729 447001.385211155 0,84655.8880990331 446997.798974212 0,84652.7743024448 446991.255583985 0,84647.5447243016 446980.280028461 0,84634.5648983364 446964.629120781 0,84626.6792627903 446975.177718894 0,84633.0417013187 446978.348216721 0,84630.4704935103 446982.034223926 0,84634.1751148126 446985.186590387 0,84626.5507235649 446995.753757989 0,84628.9486625935 446998.768778453 0)))";w682306240;"682306240";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;playground;;;De Achtertuin;;
"MULTIPOLYGON Z (((83922.573178995 448189.287995385 0,83927.2478846733 448191.168622586 0,83929.0634335388 448191.866012906 0,83919.7225944543 448216.634945946 0,83911.2240385677 448237.875672461 0,83906.824721794 448236.046770093 0,83922.0321385101 448195.159777697 0,83914.8219543815 448192.647670632 0,83916.5384386961 448187.360000112 0,83922.573178995 448189.287995385 0)))";w798630347;"798630347";way;yes;;;;;;;;;;;;;;;;;;;;;;;;"24";;;Parkeergebied E;yes @ (Mo-Sa 12:00-24:00);;;;street_side;;no;parking
"MULTIPOLYGON Z (((83733.0019755847 447005.850212858 0,83740.1165090377 447011.634865909 0,83735.1510134434 447025.047398763 0,83733.6088230788 447032.457934255 0,83734.9757816247 447039.214898368 0,83731.5106688515 447037.484055677 0,83730.1111391922 447033.253444824 0,83731.921340856 447013.843897317 0,83733.0019755847 447005.850212858 0)))";w819973296;"819973296";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;playground;;;;;
"MULTIPOLYGON Z (((83883.8583312757 447370.4063864 0,83907.9274627579 447388.356386433 0,83915.4136445371 447378.357535558 0,83902.3519432863 447368.618240092 0,83899.5825480488 447372.3185927 0,83888.5751016596 447364.107858231 0,83884.6535066132 447369.349084186 0,83883.8583312757 447370.4063864 0)))";w908133448;"908133448";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;Parkeergebied C;yes @ (Mo-Sa 12:00-24:00);;;;surface;;no;parking
"MULTIPOLYGON Z (((83875.0376261507 448295.686100045 0,83875.479373895 448294.889761683 0,83879.5343067326 448297.124130379 0,83879.0925585572 448297.920468376 0,83875.0376261507 448295.686100045 0)))";w909942403;"909942403";way;yes;wall_loops;;;;;;;;;no;;;;;;;;;;;;;;"9";;;;;;;;;;no;bicycle_parking
"MULTIPOLYGON Z (((85324.043728311 447834.275254137 0,85325.6217549799 447831.738454745 0,85328.2538839683 447827.495591555 0,85349.0376520394 447841.314504205 0,85344.7323102986 447848.16224205 0,85340.3611590676 447854.721596076 0,85319.4824062172 447840.981937768 0,85324.043728311 447834.275254137 0)))";w923535152;"923535152";way;yes;;;;;;;;;;;;;;;;;;;;;;;;"46";;;Parkeergebied E;yes @ (Mo-Sa 12:00-24:00);;;;;;no;parking
"MULTIPOLYGON Z (((84663.5067117592 448425.604088927 0,84675.2532152615 448433.416600485 0,84680.9743283233 448424.834687994 0,84669.2348349217 448417.033191186 0,84663.5067117592 448425.604088927 0)))";w937910796;"937910796";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;surface;;;parking
"MULTIPOLYGON Z (((85243.9566827833 447484.075886866 0,85251.9969993727 447471.300662845 0,85210.8967768799 447444.936767477 0,85202.9485680726 447457.911058797 0,85208.6286565134 447461.459023837 0,85207.5737363327 447463.109487363 0,85208.5643104899 447463.72987349 0,85204.9804625523 447469.154473251 0,85224.2638993902 447481.614119672 0,85227.869459078 447475.777523665 0,85237.1652599867 447481.578260039 0,85237.8840951543 447480.444355989 0,85243.9566827833 447484.075886866 0)))";w939355842;"939355842";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;Parkeergebied E;yes @ (Mo-Sa 12:00-24:00);;;;surface;;no;parking
"MULTIPOLYGON Z (((85303.9630586326 447528.390979498 0,85321.6000899931 447539.026892431 0,85332.4186597761 447522.618892594 0,85335.5786608666 447517.812303163 0,85323.6859883235 447510.423101647 0,85330.0253733967 447500.23102894 0,85324.1837666005 447496.907728666 0,85303.9630586326 447528.390979498 0)))";w939355847;"939355847";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;Parkeergebied E;yes @ (Mo-Sa 12:00-24:00);;;;surface;;no;parking
"MULTIPOLYGON Z (((84227.2004008836 447885.175047051 0,84234.5189957735 447874.021811397 0,84218.8771226021 447863.761974352 0,84212.3131638224 447874.871137414 0,84227.2004008836 447885.175047051 0)))";w962377549;"962377549";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;playground;;;;;
"MULTIPOLYGON Z (((84412.6652921112 448020.835258911 0,84416.25473712 448015.409983347 0,84428.453577972 448023.070875892 0,84425.0182887865 448028.716505291 0,84412.6652921112 448020.835258911 0)))";w983216416;"983216416";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;playground;;;;;
