WKT;full_id;osm_id;osm_type;highway;surface:lanes:forward;surface:lanes:backward;embedded_rails:lanes:forward;embedded_rails:lanes:backward;parking:condition:right;canoe;taxi;bus:lanes:forward;access:lanes:forward;embankment;emergency;survey:date;oneway:psv;oneway:bus;alt_name;motorcar;hazard;office;parking:condition:both;temporary;surface:lanes;sidewalk:right;sidewalk:left;parking:lane:right:capacity;covered;tunnel;maxweight:signed;cycleway:lane;maxaxleload;year_of_construction;construction;traffic_sign:backward;oneway:motorcycle;moped;traffic_calming;wikimedia_commons;mofa;abutters;embedded_rails;bus;bicycle:forward;noexit;maxlength;psv;incline;horse;sidewalk:both;parking:lane:right;bicycle:backward;name:etymology:wikidata;bus:lanes:backward;access:lanes:backward;bridge;source:date;traffic_sign;short_name;parking:lane:both;parking:lane:left;maxweight:destination;maxweight;postal_code;old_name;description;noname;turn:lanes:backward;hgv;wikipedia;wikidata;service;url;source:maxspeed;cycleway:left:oneway;name:zh;turn:lanes:forward;sidewalk:left:surface;motor_vehicle;layer;mapillary;lanes:backward;image;source:width;sidewalk:right:surface;cycleway:both:lane;smoothness;width;sidewalk:both:surface;embedded_rails:lanes;bus:lanes;access:lanes;junction;cycleway:left:lane;cycleway:right:lane;lane_markings;cycleway:both;ele;cycleway:right;cycleway:left;maxheight;access;cycleway;maxspeed:type;turn:lanes;foot;sidewalk;lit;lanes:forward;lanes;bicycle;oneway:moped;oneway:mofa;cyclestreet;zone:traffic;surface;oneway:bicycle;oneway;maxspeed;name
"LINESTRING Z (88326.5297876797 452741.819977075 0,88322.3413529913 452741.486608425 0,88319.9037270184 452741.285578798 0,88313.3875290006 452741.784544076 0,88245.7050855253 452744.482877251 0,88165.2202744508 452750.491806165 0,88141.6163139305 452752.366471809 0,88120.3101703311 452754.75561896 0,88100.8388284011 452758.422086217 0,88079.4891580861 452763.693930903 0,88065.0323992527 452768.428122332 0,88058.7180373825 452770.671674854 0,88043.8716493384 452776.012033666 0,88029.5126871131 452782.402963338 0,88011.8405902324 452791.319864376 0,87993.5957425681 452802.013757301 0,87978.2535224736 452812.290325845 0,87963.4846245681 452823.37150842 0,87946.7929000184 452837.839035934 0,87942.2369084118 452842.295623793 0,87928.0005882282 452856.240554955 0)";w7447823;"7447823";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Graskarpersingel
"LINESTRING Z (88122.2329440265 453676.54962867 0,88026.1310505558 453786.787860188 0)";w7447824;"7447824";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Krakeendstraat
"LINESTRING Z (87794.6500945844 453103.125932444 0,87805.684203724 453102.020074704 0,87809.7308666459 453106.605502928 0)";w7447830;"7447830";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;use_sidepath;;;;;;;yes;"30";Spieringdam
"LINESTRING Z (87581.6195812448 453730.72030796 0,87594.3165615314 453742.120670411 0,87608.9919409983 453755.296889727 0,87619.2485747869 453763.737131417 0,87622.6220104009 453766.740327414 0)";w7447831;"7447831";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Kattestaartveld
"LINESTRING Z (88481.0242063686 453048.565807639 0,88501.908964732 453084.038408525 0,88506.063551951 453091.104306863 0)";w7447839;"7447839";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";
"LINESTRING Z (88338.6716999349 453271.143565706 0,88385.3604609901 453348.898453798 0,88396.2540509939 453367.056905755 0,88414.9191846102 453398.141353503 0,88422.3193216259 453410.471437539 0,88451.4492529181 453458.985886839 0,88453.0766001559 453461.701418108 0,88464.6006386974 453480.886413787 0)";w7447848;"7447848";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Visdiefjestraat
"LINESTRING Z (87805.3330364257 453277.244654599 0,87826.3286937932 453173.222565915 0)";w7447849;"7447849";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;;no;yes;"30";Zalmforelvijver
"LINESTRING Z (88401.934837504 453488.734401504 0,88372.2894378833 453506.266894053 0,88345.7325788069 453523.457782581 0)";w7447850;"7447850";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";
"LINESTRING Z (87984.3871695647 453744.866013393 0,87984.1241285743 453747.740369567 0,87985.2894554482 453750.762405603 0,87987.3784085678 453753.115504635 0,88021.4840422838 453782.889100416 0,88026.1310505558 453786.787860188 0,88050.5606727706 453807.411757576 0,88067.4042511097 453821.806391379 0,88069.5854083802 453824.391955212 0,88069.7347456635 453827.33865244 0,88068.4231051354 453830.260483521 0,88066.3761274915 453834.594227645 0,88026.5129706735 453880.92988152 0,88025.1550526251 453884.486597427 0,88025.156602448 453888.169676957 0,88026.5938752358 453891.021155679 0,88042.5240086524 453904.815997085 0,88067.5444429053 453926.077400451 0,88086.2173504469 453942.428136388 0,88111.3178891166 453963.55515134 0,88130.1727867883 453979.692186113 0,88147.0853183864 453994.175170206 0,88154.8061461715 454000.781181922 0)";w7447853;"7447853";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Bergeendsingel
"LINESTRING Z (88516.9230885583 453377.383566384 0,88514.6096854831 453379.78454444 0,88487.2139775611 453395.873140338 0,88468.886905146 453406.989252856 0,88461.5115016747 453411.382902516 0)";w7447863;"7447863";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Papegaaiduikerplein
