WKT;full_id;osm_id;osm_type;highway;sidewalk:left:surface;sidewalk:right:surface;bicycle:backward;destination:lanes;covered;sidewalk:both:surface;cycleway:both;cycleway:left;bicycle:forward;embedded_rails:lanes:forward;embedded_rails:lanes:backward;bus;oneway:bus;bus:lanes:forward;bus:lanes:backward;access:lanes:forward;access:lanes:backward;sidewalk:right;sidewalk:left;lanes:backward;destination:symbol:name;description;traffic_sign;placement:forward;destination:symbol;maxweight:signed;source:width;mapillary;image;embedded_rails:lanes;shoulder;mofa;motor_vehicle;loc_name;psv:lanes;carriageway_ref;voltage;cycleway;embedded_rails;tunnel;smoothness;change:lanes;wikidata;name:etymology:wikidata;placement;width;lane_markings;layer;bridge;priority_road;old_name;agricultural;destination:colour;destination;sidewalk;cycleway:right:lane;cycleway:right;operator;bus:lanes;access:lanes;zone:traffic;moped;turn:lanes:forward;turn:lanes:backward;ref;lanes:forward;destination:ref;destination:forward;destination:backward;maxheight;junction;turn:lanes;source:maxspeed;surface;oneway;old_ref;name;maxspeed;lit;lanes;foot;bicycle
"LINESTRING Z (82848.3061659242 452911.264641057 0,82840.4387599688 452921.193001649 0,82837.4456879362 452925.275618662 0,82834.6144501885 452930.112554368 0,82765.5289495065 453053.838275495 0,82692.3714226122 453183.599588178 0,82684.843911837 453200.822848569 0,82680.4327682304 453208.776243045 0,82675.4883080775 453216.370184635 0,82657.7244491763 453244.680426752 0,82635.6160207597 453285.972792123 0,82560.5553409432 453418.323179166 0,82523.3799798625 453484.515921994 0,82515.7342738268 453498.25830693 0,82514.3444644701 453501.249559845 0,82509.9088220789 453509.837738049 0,82507.2421661054 453516.041151249 0,82505.5749153487 453519.759728336 0,82504.3858576741 453524.762122283 0,82501.9249222403 453532.37572418 0,82487.4917683735 453584.862499253 0)";w122805561;"122805561";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;yes;S107;Rijswijkseweg;"50";;"1";use_sidepath;use_sidepath
"LINESTRING Z (82494.1970354189 453503.73503733 0,82496.7132160887 453498.501893081 0,82499.9089721666 453492.368661207 0,82511.2629044694 453473.776344969 0,82544.3947162727 453413.439734443 0,82578.7454162681 453351.972894358 0,82621.069069436 453277.471488977 0,82652.8481488671 453220.615952913 0,82659.094210004 453206.782860999 0,82663.1868222344 453198.622654247 0,82667.488880146 453190.715338606 0,82678.1568160835 453175.326964592 0,82721.4012245619 453096.951908008 0,82751.0362598109 453045.324672413 0,82796.6743263066 452963.944583292 0)";w122805562;"122805562";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;yes;S107;Rijswijkseweg;"50";;"1";use_sidepath;use_sidepath
"LINESTRING Z (77645.9591615137 449716.131280876 0,77676.3263749753 449739.740047901 0,77692.2621998178 449752.47867221 0)";w122941393;"122941393";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S105;;;;;;;;NL:urban;;yes;;Erasmusweg;"50";;"2";use_sidepath;use_sidepath
"LINESTRING Z (77639.1894675837 449724.39286691 0,77597.592973597 449699.01139542 0,77593.2697402195 449695.973954781 0,77589.9884168277 449693.732645492 0,77581.0447859868 449687.52886642 0)";w122941394;"122941394";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S105;;;;;;;left|through|through|right;NL:urban;;yes;;Erasmusweg;"50";;"4";use_sidepath;use_sidepath
"LINESTRING Z (77692.2621998178 449752.47867221 0,77724.9024049017 449777.076202315 0)";w122941395;"122941395";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S105;;;;;;;;NL:urban;;yes;;Erasmusweg;"50";;"2";use_sidepath;use_sidepath
"LINESTRING Z (77666.1742496942 449744.548899347 0,77639.1894675837 449724.39286691 0)";w122952678;"122952678";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S105;;;;;;;"left|through|through;right";NL:urban;;yes;;Erasmusweg;"50";;"3";use_sidepath;use_sidepath
"LINESTRING Z (77680.8809440091 449755.48164194 0,77666.1742496942 449744.548899347 0)";w123091688;"123091688";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S105;;;;;;;;NL:urban;;yes;;Erasmusweg;"50";;"2";use_sidepath;use_sidepath
"LINESTRING Z (77724.9024049017 449777.076202315 0,77874.7524316769 449882.970245204 0,78026.2127049964 449990.001072708 0)";w123091689;"123091689";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S105;;;;;;;;NL:urban;;yes;;Erasmusweg;"50";;"2";use_sidepath;use_sidepath
"LINESTRING Z (80540.4803978722 457321.961313818 0,80552.6646496597 457341.163121675 0)";w123146516;"123146516";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";yes;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;yes;;Doctor Aletta Jacobsweg;"50";;;;use_sidepath
"LINESTRING Z (80557.4088305622 457360.520823939 0,80552.6907698898 457352.980196003 0,80550.8361954564 457349.947878714 0,80547.4493676176 457344.356906003 0)";w123146517;"123146517";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;yes;;Doctor Aletta Jacobsweg;"50";;;;use_sidepath
